player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Ike Austin,VAN,31.0,208.28,122.46984,52,4.3,4.3,1.1,-5.4,0.066,0.244,0.185,0.3929999999999999,0.114,2000-01
Hubert Davis,WAS,31.0,195.58,83.007336,66,7.9,2.1,1.7,-0.1,0.019,0.073,0.144,0.569,0.104,2000-01
Howard Eisley,DAL,28.0,187.96,81.64656,82,9.0,2.4,3.6,3.4,0.011,0.08,0.155,0.507,0.183,2000-01
Horace Grant,LAL,35.0,208.28,111.13004,77,8.5,7.1,1.6,7.1,0.106,0.149,0.13,0.511,0.073,2000-01
Hersey Hawkins,CHH,34.0,190.5,90.7184,59,3.1,1.4,1.2,-0.3,0.03,0.108,0.128,0.555,0.1939999999999999,2000-01
Isaiah Rider,LAL,30.0,195.58,97.52228,67,7.6,2.3,1.7,0.0,0.0409999999999999,0.107,0.226,0.499,0.155,2000-01
Kelvin Cato,HOU,26.0,210.82,115.66596,35,4.7,4.0,0.3,8.8,0.093,0.162,0.12,0.606,0.0279999999999999,2000-01
Metta World Peace,CHI,21.0,200.66,111.583632,76,11.9,3.9,3.0,-8.4,0.0289999999999999,0.124,0.217,0.483,0.171,2000-01
Kenny Anderson,BOS,30.0,185.42,76.203456,33,7.5,2.2,4.1,-3.3,0.021,0.0819999999999999,0.1639999999999999,0.476,0.261,2000-01
Michael Redd,MIL,21.0,198.12,97.068688,6,2.2,0.7,0.2,-13.3,0.073,0.038,0.283,0.3,0.0559999999999999,2000-01
Michael Olowokandi,LAC,26.0,213.36,131.995272,82,8.5,6.4,0.6,-6.9,0.093,0.192,0.209,0.451,0.038,2000-01
Michael Hawkins,CLE,28.0,182.88,80.73937600000001,10,0.8,0.5,1.3,-20.8,0.0289999999999999,0.054,0.094,0.444,0.271,2000-01
Michael Finley,DAL,28.0,200.66,97.52228,82,21.5,5.2,4.4,5.5,0.036,0.1,0.249,0.521,0.18,2000-01
Michael Doleac,ORL,24.0,210.82,118.841104,77,6.4,3.5,0.8,3.4,0.055,0.171,0.196,0.4429999999999999,0.077,2000-01
Michael Dickerson,VAN,26.0,193.04,86.18248,70,16.3,3.3,3.3,-5.9,0.032,0.069,0.226,0.501,0.157,2000-01
Michael Curry,DET,32.0,195.58,95.25432,68,5.2,1.8,1.9,-3.6,0.015,0.077,0.124,0.507,0.138,2000-01
Michael Ruffin,CHI,24.0,203.2,112.490816,45,2.6,5.8,0.9,-7.0,0.134,0.225,0.091,0.48,0.07,2000-01
