quadruplet
"(Arvydas Sabonis, player_weight, player_height, age)"
"(Art Long, dreb_pct, oreb_pct, player_weight)"
"(Anthony Carter, ast_pct, ast, gp)"
"(Antonio McDyess, reb, pts, dreb_pct)"
"(Antonio Davis, reb, dreb_pct, oreb_pct)"
"(Antonio Daniels, ast_pct, ast, gp)"
"(Antoine Walker, pts, reb, ast)"
"(Anthony Peeler, gp, age, net_rating)"
"(Anthony Miller, dreb_pct, player_weight, player_height)"
"(Anthony Mason, reb, dreb_pct, age)"
"(Anthony Johnson, ast_pct, nan, nan)"
"(Antonio Harvey, player_height, player_weight, age)"
"(Etdrick Bohannon, oreb_pct, net_rating, ts_pct)"
"(Chris Webber, pts, reb, usg_pct)"
"(Christian Laettner, player_height, gp, ts_pct)"
"(Doug West, age, ast_pct, nan)"
"(Doug Overton, ast_pct, ast, age)"
"(Doug Christie, gp, ast, net_rating)"
"(Donyell Marshall, reb, gp, dreb_pct)"
"(Donnell Harvey, dreb_pct, oreb_pct, ts_pct)"
"(Don Reid, dreb_pct, oreb_pct, ts_pct)"
"(Don MacLean, ts_pct, oreb_pct, age)"
"(Dragan Tarlac, player_weight, player_height, dreb_pct)"
"(Dirk Nowitzki, pts, reb, dreb_pct)"
"(Dikembe Mutombo, reb, dreb_pct, player_height)"
"(Devean George, usg_pct, player_height, gp)"
"(Detlef Schrempf, age, dreb_pct, player_height)"
"(Desmond Mason, gp, net_rating, nan)"
"(Derrick McKey, age, player_height, player_weight)"
"(Derrick Dial, net_rating, usg_pct, oreb_pct)"
"(Derrick Coleman, player_weight, dreb_pct, age)"
"(Dion Glover, usg_pct, player_weight, gp)"
"(Derek Strong, age, dreb_pct, player_weight)"
"(Duane Causwell, player_height, age, player_weight)"
"(Eddie Gill, ast_pct, ast, nan)"
"(Erick Strickland, ast_pct, net_rating, usg_pct)"
"(Erick Dampier, player_weight, player_height, reb)"
"(Erick Barkley, usg_pct, ast_pct, nan)"
"(Eric Williams, gp, net_rating, player_height)"
"(Eric Snow, ast, ast_pct, net_rating)"
"(Eric Piatkowski, gp, ts_pct, age)"
"(Eric Montross, player_weight, player_height, dreb_pct)"
"(Earl Boykins, ast_pct, usg_pct, ast)"
"(Emanual Davis, age, ts_pct, gp)"
